epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.1877,0.8603,2.92432,1.1967,0.41735,0.39093,0.35556,0.27709,0.82934,1.85928,1.22338,0.00017454,0.00017454,0.00017454
2,133.375,0.77322,1.80776,1.1043,0.3769,0.56617,0.45995,0.35623,0.853,1.74111,1.18244,0.00034641,0.00034641,0.00034641
3,201.52,0.7649,1.5812,1.09809,0.54348,0.62831,0.62067,0.4977,0.76547,1.24626,1.11276,0.000514808,0.000514808,0.000514808
4,269.88,0.76943,1.43101,1.08884,0.59912,0.63004,0.65749,0.52393,0.77825,1.20282,1.09554,0.000510378,0.000510378,0.000510378
5,337.917,0.73467,1.27691,1.07612,0.75221,0.6876,0.77758,0.63796,0.72477,0.92825,1.06637,0.00050517,0.00050517,0.00050517
6,406.316,0.7238,1.16682,1.06421,0.77278,0.75796,0.81663,0.67679,0.72221,0.82487,1.04622,0.000499963,0.000499963,0.000499963
7,474.707,0.69303,1.08532,1.04394,0.85873,0.75962,0.85759,0.70493,0.71401,0.7036,1.03352,0.000494756,0.000494756,0.000494756
8,543.015,0.68321,1.03041,1.04012,0.87629,0.73263,0.82555,0.68819,0.6705,0.7347,1.01475,0.000489548,0.000489548,0.000489548
9,611.305,0.68458,0.97869,1.0378,0.89726,0.76751,0.86013,0.72231,0.68825,0.67039,1.02521,0.000484341,0.000484341,0.000484341
10,679.677,0.67119,0.93911,1.03551,0.93222,0.79085,0.90084,0.75635,0.66584,0.59521,1.01263,0.000479133,0.000479133,0.000479133
11,747.727,0.66012,0.91176,1.0277,0.86147,0.80311,0.88086,0.73487,0.67741,0.62941,1.02552,0.000473926,0.000473926,0.000473926
12,815.904,0.6592,0.90683,1.03068,0.89134,0.84014,0.90186,0.75629,0.65748,0.54766,1.01156,0.000468719,0.000468719,0.000468719
13,884.235,0.656,0.86378,1.01964,0.94176,0.83281,0.90146,0.7581,0.66491,0.55741,1.01163,0.000463511,0.000463511,0.000463511
14,952.459,0.6375,0.84408,1.01053,0.91957,0.83659,0.91945,0.76694,0.66528,0.53171,1.0156,0.000458304,0.000458304,0.000458304
15,1021.04,0.63733,0.80309,1.0191,0.92731,0.86331,0.93185,0.77477,0.66752,0.52091,1.03053,0.000453096,0.000453096,0.000453096
16,1089.74,0.63289,0.82022,1.01864,0.93627,0.86295,0.93951,0.79011,0.62984,0.47912,0.98304,0.000447889,0.000447889,0.000447889
17,1157.97,0.62553,0.79907,1.00924,0.95,0.85357,0.93733,0.78507,0.65019,0.47549,0.99993,0.000442682,0.000442682,0.000442682
18,1226.21,0.61935,0.76849,1.01057,0.92891,0.85632,0.93047,0.77354,0.65107,0.49638,0.99413,0.000437474,0.000437474,0.000437474
19,1294.1,0.6239,0.78627,1.00503,0.92487,0.86424,0.93203,0.78325,0.63862,0.47201,0.98704,0.000432267,0.000432267,0.000432267
20,1362.41,0.62072,0.74372,1.00656,0.92155,0.88559,0.93722,0.78562,0.64,0.46549,0.99164,0.000427059,0.000427059,0.000427059
21,1430.53,0.60801,0.7433,0.99838,0.91386,0.87434,0.94015,0.79476,0.62838,0.47647,0.99075,0.000421852,0.000421852,0.000421852
22,1498.82,0.61291,0.7208,1.00108,0.92755,0.86413,0.9419,0.79686,0.62121,0.46771,0.98724,0.000416645,0.000416645,0.000416645
23,1567.24,0.60639,0.71675,0.99469,0.93593,0.89163,0.95186,0.80198,0.62628,0.42542,0.99015,0.000411437,0.000411437,0.000411437
24,1635.57,0.597,0.70663,0.99433,0.9537,0.8547,0.94564,0.79433,0.61063,0.45168,0.97689,0.00040623,0.00040623,0.00040623
25,1703.73,0.59872,0.70828,0.99848,0.92075,0.8841,0.94634,0.79487,0.62206,0.44044,0.97817,0.000401022,0.000401022,0.000401022
26,1771.86,0.6002,0.69426,0.99327,0.94691,0.87418,0.9452,0.79766,0.63639,0.44034,0.99325,0.000395815,0.000395815,0.000395815
27,1839.76,0.5887,0.67144,0.99081,0.92499,0.90573,0.95092,0.80196,0.62171,0.43423,0.98875,0.000390608,0.000390608,0.000390608
28,1908.03,0.59094,0.67069,0.98546,0.93211,0.89498,0.94912,0.81261,0.6044,0.41615,0.97074,0.0003854,0.0003854,0.0003854
29,1976.04,0.57402,0.65714,0.97717,0.92548,0.895,0.94731,0.80535,0.61809,0.40578,0.97717,0.000380193,0.000380193,0.000380193
30,2044.22,0.57928,0.6614,0.98419,0.96305,0.8768,0.95357,0.80411,0.62787,0.41338,0.97707,0.000374985,0.000374985,0.000374985
31,2112.08,0.58359,0.64288,0.98192,0.94733,0.90853,0.95424,0.81496,0.6193,0.40268,0.97942,0.000369778,0.000369778,0.000369778
32,2180.3,0.57743,0.64154,0.98546,0.95139,0.86443,0.94742,0.80681,0.61205,0.42395,0.97392,0.000364571,0.000364571,0.000364571
33,2248.45,0.58841,0.64226,0.98775,0.95507,0.90548,0.9605,0.81648,0.6157,0.38745,0.97485,0.000359363,0.000359363,0.000359363
34,2316.36,0.5792,0.61511,0.98042,0.9515,0.89421,0.95445,0.80921,0.61293,0.39053,0.97825,0.000354156,0.000354156,0.000354156
35,2384.28,0.56821,0.63084,0.98263,0.93277,0.90742,0.95702,0.81909,0.58645,0.40454,0.95845,0.000348948,0.000348948,0.000348948
36,2452.55,0.55769,0.61183,0.97496,0.93836,0.90159,0.95685,0.81754,0.5927,0.37982,0.96367,0.000343741,0.000343741,0.000343741
37,2520.69,0.55862,0.61577,0.97559,0.93658,0.921,0.95521,0.81753,0.60622,0.38376,0.96383,0.000338534,0.000338534,0.000338534
38,2588.95,0.55984,0.60856,0.97552,0.95538,0.90189,0.9548,0.8183,0.60366,0.37711,0.96723,0.000333326,0.000333326,0.000333326
39,2657.43,0.55949,0.60297,0.97494,0.94487,0.91787,0.96234,0.82275,0.60086,0.37163,0.96611,0.000328119,0.000328119,0.000328119
40,2725.76,0.55722,0.60535,0.97443,0.94136,0.90914,0.96069,0.82428,0.58486,0.36796,0.96148,0.000322911,0.000322911,0.000322911
41,2793.91,0.55379,0.59062,0.97065,0.93877,0.93789,0.96625,0.82933,0.5888,0.36249,0.96383,0.000317704,0.000317704,0.000317704
42,2861.92,0.55702,0.57717,0.96887,0.95009,0.92406,0.96287,0.82546,0.58074,0.35263,0.95801,0.000312497,0.000312497,0.000312497
43,2929.76,0.54625,0.57604,0.96991,0.95678,0.90303,0.95845,0.82025,0.59284,0.36318,0.96031,0.000307289,0.000307289,0.000307289
44,2997.83,0.55389,0.58904,0.97168,0.95417,0.89759,0.96005,0.8221,0.58872,0.3627,0.96025,0.000302082,0.000302082,0.000302082
45,3065.63,0.55043,0.58387,0.97303,0.93894,0.92448,0.96309,0.82254,0.58865,0.36026,0.96009,0.000296874,0.000296874,0.000296874
46,3133.85,0.55095,0.56495,0.97306,0.94656,0.9068,0.95979,0.82237,0.5989,0.36624,0.96575,0.000291667,0.000291667,0.000291667
47,3201.91,0.54115,0.55585,0.96414,0.95199,0.92454,0.96569,0.82476,0.60088,0.35861,0.96989,0.00028646,0.00028646,0.00028646
48,3269.99,0.53636,0.56504,0.96093,0.95954,0.91365,0.9651,0.82527,0.57541,0.35352,0.95035,0.000281252,0.000281252,0.000281252
49,3338.01,0.53925,0.57238,0.96401,0.96286,0.92069,0.96647,0.82926,0.59074,0.34866,0.95665,0.000276045,0.000276045,0.000276045
50,3405.97,0.52629,0.54259,0.95893,0.95346,0.91302,0.95851,0.82517,0.59092,0.36014,0.95985,0.000270837,0.000270837,0.000270837
51,3473.83,0.52825,0.55276,0.95931,0.9462,0.91171,0.95923,0.81919,0.58387,0.35115,0.95811,0.00026563,0.00026563,0.00026563
52,3541.41,0.52271,0.53048,0.95752,0.954,0.91692,0.9648,0.83563,0.5737,0.33961,0.95132,0.000260423,0.000260423,0.000260423
53,3609.45,0.52922,0.53987,0.95992,0.94819,0.9294,0.96538,0.83025,0.57515,0.33497,0.95311,0.000255215,0.000255215,0.000255215
54,3677.13,0.53502,0.53555,0.9606,0.95841,0.92858,0.96452,0.82998,0.58193,0.34174,0.95364,0.000250008,0.000250008,0.000250008
55,3745.31,0.52821,0.52519,0.95853,0.94671,0.93053,0.96222,0.82767,0.57342,0.33815,0.94834,0.0002448,0.0002448,0.0002448
56,3813.25,0.52112,0.52537,0.95563,0.93463,0.941,0.96497,0.83077,0.57198,0.33855,0.94647,0.000239593,0.000239593,0.000239593
57,3881.75,0.51499,0.52368,0.9536,0.95673,0.92382,0.96587,0.83503,0.56781,0.3305,0.94906,0.000234386,0.000234386,0.000234386
58,3949.71,0.51182,0.50889,0.9556,0.93594,0.93185,0.96778,0.83273,0.57225,0.33695,0.95337,0.000229178,0.000229178,0.000229178
59,4017.81,0.51526,0.49496,0.95329,0.95887,0.93089,0.9689,0.83234,0.5786,0.31801,0.9534,0.000223971,0.000223971,0.000223971
60,4085.71,0.5157,0.50653,0.95105,0.95593,0.92314,0.96735,0.83001,0.56932,0.33332,0.95039,0.000218763,0.000218763,0.000218763
61,4153.45,0.50953,0.51359,0.95206,0.95064,0.93851,0.96935,0.83372,0.5686,0.33434,0.95512,0.000213556,0.000213556,0.000213556
62,4221.5,0.51783,0.51345,0.94916,0.9633,0.93131,0.96939,0.83488,0.57501,0.32732,0.95568,0.000208349,0.000208349,0.000208349
63,4289.75,0.50792,0.50849,0.95132,0.93861,0.93171,0.96828,0.83449,0.56212,0.32495,0.95191,0.000203141,0.000203141,0.000203141
64,4357.66,0.51038,0.49068,0.95015,0.95803,0.92615,0.96964,0.83787,0.57031,0.32072,0.94999,0.000197934,0.000197934,0.000197934
65,4425.65,0.50379,0.49377,0.95006,0.9541,0.93269,0.9722,0.83898,0.56549,0.31616,0.9517,0.000192726,0.000192726,0.000192726
66,4493.85,0.49508,0.482,0.94528,0.95795,0.9251,0.97104,0.84191,0.56011,0.31727,0.94716,0.000187519,0.000187519,0.000187519
67,4562.02,0.49799,0.48729,0.94568,0.95206,0.92834,0.96685,0.83244,0.56801,0.33078,0.95175,0.000182312,0.000182312,0.000182312
68,4629.73,0.4971,0.47674,0.94669,0.95849,0.92713,0.97057,0.84252,0.56726,0.31901,0.94945,0.000177104,0.000177104,0.000177104
69,4699.96,0.5023,0.47154,0.94837,0.97003,0.92684,0.96808,0.84129,0.56468,0.31702,0.94787,0.000171897,0.000171897,0.000171897
70,4768,0.4911,0.47644,0.94539,0.93776,0.94409,0.97084,0.84073,0.56055,0.31562,0.9429,0.000166689,0.000166689,0.000166689
71,4836.1,0.48485,0.46027,0.94049,0.9585,0.93318,0.97216,0.84306,0.55475,0.31393,0.9402,0.000161482,0.000161482,0.000161482
72,4904.36,0.49971,0.47669,0.94693,0.96291,0.92505,0.96893,0.83982,0.55996,0.31453,0.94666,0.000156275,0.000156275,0.000156275
73,4971.98,0.49446,0.46904,0.94477,0.94902,0.95084,0.97351,0.83999,0.55612,0.30779,0.94509,0.000151067,0.000151067,0.000151067
74,5039.84,0.49468,0.46143,0.94059,0.94982,0.94122,0.97182,0.84424,0.55732,0.31114,0.9444,0.00014586,0.00014586,0.00014586
75,5108.06,0.4895,0.46151,0.94369,0.95148,0.91959,0.96824,0.84156,0.5591,0.31361,0.94205,0.000140652,0.000140652,0.000140652
76,5176.11,0.48592,0.46159,0.94072,0.96005,0.93352,0.96954,0.83891,0.56438,0.30764,0.94398,0.000135445,0.000135445,0.000135445
77,5244.14,0.48394,0.44823,0.9395,0.95924,0.93677,0.96969,0.8457,0.5555,0.30673,0.94027,0.000130238,0.000130238,0.000130238
78,5312.09,0.47733,0.44733,0.93992,0.94747,0.93401,0.97121,0.8462,0.55443,0.30756,0.94165,0.00012503,0.00012503,0.00012503
79,5380.53,0.47464,0.44253,0.93505,0.94819,0.93217,0.96668,0.84542,0.55449,0.3096,0.93966,0.000119823,0.000119823,0.000119823
80,5448.38,0.4753,0.45094,0.93703,0.96265,0.92463,0.96704,0.84243,0.55572,0.30842,0.94092,0.000114615,0.000114615,0.000114615
81,5516.24,0.47201,0.44556,0.94124,0.9716,0.92121,0.97297,0.84789,0.55447,0.30305,0.9393,0.000109408,0.000109408,0.000109408
82,5584.14,0.4766,0.44811,0.93604,0.93948,0.95101,0.97341,0.84943,0.55189,0.3009,0.93562,0.000104201,0.000104201,0.000104201
83,5652.56,0.47145,0.44165,0.9297,0.92483,0.95397,0.9709,0.84947,0.54966,0.30213,0.93503,9.89932e-05,9.89932e-05,9.89932e-05
84,5720.64,0.46665,0.42806,0.93059,0.94809,0.93487,0.96977,0.8436,0.55511,0.30073,0.93337,9.37858e-05,9.37858e-05,9.37858e-05
85,5788.68,0.47195,0.44206,0.9337,0.94139,0.95002,0.97246,0.8479,0.55413,0.29468,0.93554,8.85784e-05,8.85784e-05,8.85784e-05
86,5856.39,0.46699,0.42377,0.93171,0.94986,0.93415,0.96943,0.84726,0.54889,0.29927,0.93273,8.3371e-05,8.3371e-05,8.3371e-05
87,5924.52,0.46711,0.42246,0.92865,0.963,0.93808,0.97344,0.84813,0.55141,0.29848,0.93526,7.81636e-05,7.81636e-05,7.81636e-05
88,5992.35,0.47109,0.4231,0.93277,0.94889,0.94658,0.97285,0.84789,0.55434,0.29789,0.9377,7.29562e-05,7.29562e-05,7.29562e-05
89,6060.32,0.45776,0.41336,0.92913,0.94735,0.94143,0.97145,0.849,0.54999,0.29408,0.93543,6.77488e-05,6.77488e-05,6.77488e-05
90,6128.24,0.46112,0.41607,0.92847,0.94134,0.93964,0.96955,0.84907,0.54916,0.29795,0.93612,6.25414e-05,6.25414e-05,6.25414e-05
91,6196.72,0.45675,0.26945,0.89324,0.94677,0.9367,0.96846,0.84267,0.55244,0.30225,0.93866,5.7334e-05,5.7334e-05,5.7334e-05
92,6264.81,0.45545,0.2687,0.89005,0.94935,0.94046,0.9694,0.84557,0.55165,0.29561,0.93571,5.21266e-05,5.21266e-05,5.21266e-05
93,6332.27,0.44978,0.25946,0.89198,0.94861,0.94404,0.97188,0.84815,0.55298,0.29531,0.93901,4.69192e-05,4.69192e-05,4.69192e-05
94,6400.35,0.45056,0.2607,0.8886,0.93838,0.94167,0.96985,0.84622,0.55198,0.29402,0.93854,4.17118e-05,4.17118e-05,4.17118e-05
95,6468.05,0.44149,0.25329,0.8879,0.94537,0.94463,0.97164,0.85035,0.55172,0.29447,0.93876,3.65044e-05,3.65044e-05,3.65044e-05
96,6536.2,0.44389,0.25568,0.88563,0.94731,0.94667,0.97003,0.84818,0.55151,0.29177,0.93699,3.1297e-05,3.1297e-05,3.1297e-05
97,6603.98,0.43919,0.25256,0.88384,0.9524,0.94042,0.96809,0.85012,0.55195,0.29377,0.9403,2.60896e-05,2.60896e-05,2.60896e-05
98,6671.78,0.43993,0.24967,0.88439,0.95003,0.94216,0.9686,0.85002,0.55245,0.29384,0.93901,2.08822e-05,2.08822e-05,2.08822e-05
99,6739.74,0.43463,0.24957,0.8842,0.95092,0.94229,0.96937,0.84903,0.55034,0.29308,0.93604,1.56748e-05,1.56748e-05,1.56748e-05
100,6807.4,0.43396,0.24665,0.88189,0.95199,0.94297,0.97019,0.85382,0.54883,0.29397,0.93657,1.04674e-05,1.04674e-05,1.04674e-05
